screen,dose,Drug.Name,repurposing_target,MOA,IDs,combined_targets,citeline_targets,prism_targets,Syns
REP.PRIMARY,2.5,ICI-89406,"ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A03359064-001-02-3,"ADRB1,ADRB2",",","ADRB1,ADRB2,",ici-89406
REP.PRIMARY,2.5,XL888,"",HSP INHIBITOR,BRD:BRD-A03506276-001-01-5,HSP90AA1,"HSP90AA1,",",","xl 888;xl888;xl-888;hsp 90 inhibitor (oral, cancer), exelixis"
REP.PRIMARY,2.5,METOPROLOL,"ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A03623303-045-09-5,"ADRB1,ADRB2,CACNA1C,ACE,HMGCR,MME,PTGS1,PTGS2","ADRB1,CACNA1C,",",",felodipine + metoprolol;felodipine/metoprolol;logimat 10;logimat 5;logimax;logimax forte;mibloc;mobloc;mobloc forte
REP.PRIMARY,2.5,BISMUTH-SUBCITRATE-POTASSIUM,"","",BRD:BRD-A03880619-001-01-0,"",,,
REP.PRIMARY,2.5,METHSCOPOLAMINE,"CHRM1, CHRM2, CHRM3",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A03932035-004-04-3,"CHRM1,CHRM2,CHRM3",NaN,NaN,"cbp-058;crtx-058;methscopolamine + antihistamine (allergic rhinitis), cornerstone biopharma;methscopolamine + antihistamine (allergic rhinitis), cornerstone therapeutics"
REP.PRIMARY,2.5,PIRICAPIRON,HTR2A,"DOPAMINE RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",BRD:BRD-A04203391-001-08-3,HTR2A,,,
REP.PRIMARY,2.5,EPERISONE,CYP2J2,ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A04252265-003-01-4,"CYP2J2,PTGS1,PTGS2",",","CYP2J2,","e646;e-646;empp;eperisone;eperisone hydrochloride;epry;myonal;myorelark;e-0646;e-2000;e-2000 (oral), eisai;eperisone (oral), eisai"
REP.PRIMARY,2.5,ISOPRENALINE,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A04322457-003-17-9,"ADRB1,ADRB2,ADRB3,MAPK1,PIK3R1,PIK3R2,PIK3R3",,,
REP.PRIMARY,2.5,SYNEPHRINE,ADRA1A,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A04327189-001-15-1,ADRA1A,,,
REP.PRIMARY,2.5,SYNEPHRINE,ADRA1A,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A04327189-003-03-3,ADRA1A,,,
REP.PRIMARY,2.5,MARAVIROC,CCR5,CC CHEMOKINE RECEPTOR ANTAGONIST,BRD:BRD-A04352665-001-05-3,CCR5,"CCR5,","CCR5,","ccr5 antagonists, pfizer-1;celsentri;celsentri (iv);celsentri (rectal gel);celsentri (solution);celsentri (tablet);celsentri (vaginal ring);maraviroc;maraviroc (gel);maraviroc (iv);maraviroc (rectal gel);maraviroc (solution);maraviroc (tablet);maraviroc (vaginal gel);maraviroc (vaginal ring);selzentry;selzentry (iv);selzentry (rectal gel);selzentry (solution);selzentry (tablet);selzentry (vaginal ring);uk 427,857 (iv);uk 427,857 (tablet);uk-382055;uk-382055 (rectal gel);uk-382055 (vaginal ring);uk-395859;uk-395859 (rectal gel);uk-395859 (vaginal ring);uk-408030;uk-408030 (rectal gel);uk-408030 (vaginal ring);uk-418526;uk-418526 (rectal gel);uk-418526 (vaginal ring);uk-427,857 (rectal gel);uk-427,857 (solution);uk-427857;uk-427857 (iv);uk-427857 (rectal gel);uk-427857 (solution);uk-427857 (tablet);uk-427857 (vaginal ring);ccr5 antagonist (coronavirus disease 19 infection/ respiratory distress syndrome), viiv healthcare;ccr5 antagonist (rheumatoid arthritis), pfizer;ccr5 antagonists (hiv infection), pfizer;din-02299844;uk-107543;uk-179645;uk-370907;uk-372677;uk-374503;uk-378995;uk-387170;uk-440103"
REP.PRIMARY,2.5,TRILOSTANE,"ESR1, ESR2, HSD3B1, HSD3B2",3BETA-HYDROXY-DELTA5-STEROID DEHYDROGENASE INHIBITOR,BRD:BRD-A04497688-001-04-2,"ESR1,ESR2,HSD3B1,HSD3B2,JUN","ESR1,ESR2,HSD3B2,JUN,","ESR1,ESR2,HSD3B1,HSD3B2,",abetofen;desopan;modrastane;modrenal;modrenal (capsule);trilostane;trilostane (capsule);triwinol;win-24540;abetafen;modrefen
REP.PRIMARY,2.5,STEPRONIN,"",MUCOLYTIC AGENT,BRD:BRD-A04506385-001-01-2,"",NaN,NaN,broncoplus;bronplus;prostenoglycine;stepronin;tenoglycine;ttpg;bronchoplus;bronco-plus;ky-01;masor;mucodil;ronpect;ts-5010680;tiase;tioten;valase
REP.PRIMARY,2.5,CHLORPHENAMINE,"HRH1, SLC6A2, SLC6A3, SLC6A4",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-A04553218-050-16-2,"HRH1,SLC6A2,SLC6A3,SLC6A4","HRH1,",",","chlorphenamine, alza;chlorpheniramine, alza"
REP.PRIMARY,2.5,2-PMDQ,ADRA1A,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A04661934-001-02-9,ADRA1A,,,
REP.PRIMARY,2.5,BUPROPION,"CHRNA3, SLC6A2, SLC6A3",DOPAMINE UPTAKE INHIBITOR,BRD:BRD-A05186015-003-19-8,"CHRNA3,SLC6A2,SLC6A3,CA1,CA10,CA11,CA12,CA13,CA14,CA2,CA3,CA4,CA5A,CA5B,CA6,CA7,CA8,CA9,CACNA1G,CACNA1H,CACNA1I,MAOA,MAOB,SCN10A,SCN11A,SCN1A,SCN1B,SCN2A,SCN2B,SCN3A,SCN3B,SCN4A,SCN4B,SCN5A,SCN7A,SCN8A,SCN9A,CHRNA1,CHRNA2,CHRNA4,CHRNA6,CHRNA7,GRIN1,SLC6A4,OPRK1,OPRM1",NaN,NaN,"bupropion hydrochloride, deuteria pharmaceuticals;bupropion, deuteria pharmaceuticals"
REP.PRIMARY,2.5,LISOFYLLINE,"","INTERLEUKIN RECEPTOR ANTAGONIST, STAT INHIBITOR",BRD:BRD-A05334458-001-02-8,"IL12A,IL12B,STAT4,REG3A","IL12A,IL12B,STAT4,",",","ct-1501r;ct-1501r (iv);ct-1501r (sc);lisofylline;lisofylline (iv);lisofylline (sc);lisophylline;lisophylline (iv);lisophylline (sc);lsf (injection, post islet cell transplant therapy), diakine therapeutics;lisofylline (iv, post islet cell transplant therapy), diakine therapeutics;lysofylline"
REP.PRIMARY,2.5,BAY-K-8644-(+/-),"","L-TYPE CALCIUM CHANNEL ACTIVATOR, L-TYPE CALCIUM CHANNEL BLOCKER",BRD:BRD-A05457250-001-08-4,"",,,
REP.PRIMARY,2.5,ERDOSTEINE,"",MUCOLYTIC AGENT,BRD:BRD-A05515753-001-03-2,HRH1,NaN,NaN,"alt07;alt-07;asdigan;benelux;biopulmin;doflus;dostin;dostol;drupsan;ectrin;edirel;erdomed;erdopect;erdos;erdostein;erdosteine;erdotin;esteclin;fluidasa;flusten;kw-9144;lucof;mucoflux, edmond;mucofor;mucotec;mucothera;mukial, edmond;rv-144;secresolv;theovix;tusselin;tussol;vectrin;vectrine;mucoflux;mukial"
REP.PRIMARY,2.5,TELMESTEINE,"",MUCOLYTIC AGENT,BRD:BRD-A05523972-001-01-5,"",NaN,NaN,mr-795;muconorm;reolase;telmesteine;ys-795
REP.PRIMARY,2.5,"D,L-MEVALONIC-ACID-LACTONE","","",BRD:BRD-A05674712-001-06-0,"",,,
REP.PRIMARY,2.5,CPCCOET,GRM1,GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-A05729358-001-02-0,GRM1,,,
REP.PRIMARY,2.5,LAPPACONITE,"",SODIUM CHANNEL BLOCKER,BRD:BRD-A05906449-004-01-1,"",,,
REP.PRIMARY,2.5,TERFENADINE,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, KCNH1, KCNH2",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-A06352418-001-25-9,"CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,HRH1,KCNH1,KCNH2","HRH1,","CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,HRH1,KCNH1,KCNH2,","aldaban;allerplus;nadane;nonamine;rmi-9918;seldane;seldane d;teldafen;teldane;teldanex;terfen;terfenadine;terfium;triludan;indas (terfenadine);controlled release terfenadine (indas), elan;terfenadine, elan"
REP.PRIMARY,2.5,SB-218078,CHEK1,CHK INHIBITOR,BRD:BRD-A06352508-001-03-7,CHEK1,",","CHEK1,",sb-218078
REP.PRIMARY,2.5,HYDROQUINIDINE,"",ANTIARRHYTHMIC,BRD:BRD-A06390036-001-04-6,"",,,
REP.PRIMARY,2.5,DICLAZURIL,"",ANTIPROTOZOAL AGENT,BRD:BRD-A06426627-001-03-5,"",NaN,NaN,"clazuril;diclazuril;diclazuril (cryptosporidial related diarrhea), janssen"
REP.PRIMARY,2.5,MONENSIN,"",BACTERIAL PERMEABILITY INDUCER,BRD:BRD-A06627858-236-03-0,"",,,
REP.PRIMARY,2.5,ANISOTROPINE,"CHRM1, CHRM2, CHRM3",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A06771424-004-01-7,"CHRM1,CHRM2,CHRM3",,,
REP.PRIMARY,2.5,CPI-613,PDHA1,PYRUVATE DEHYDROGENASE INHIBITOR,BRD:BRD-A06916187-001-02-9,"PDHA1,OGDH","OGDH,PDHA1,","PDHA1,","bylantra;cpi 613;cpi613;cpi-613;devimistat;devimistat (oral);ono 7912;ono7912;ono-7912;rfl 618;rfl 618 (oral);rfl618;rfl-618;rfl618 (oral);rfl-618 (oral);cpi-1410;lipoic acid derviatives (injectable, cancer), cornerstone pharmaceuticals;lipoic acid derviatives (injectable, cancer), rafael pharmaceuticals;thioctans (injectable, cancer), cornerstone pharmaceuticals;thioctans (injectable, cancer), rafael pharmaceuticals;thioctoids (cancer), cornerstone pharmaceuticals;thioctoids (cancer), rafael pharmaceuticals"
REP.PRIMARY,2.5,FUSIDIC-ACID,"",BACTERIAL 30S RIBOSOMAL SUBUNIT INHIBITOR,BRD:BRD-A06935312-001-04-3,"",,,
REP.PRIMARY,2.5,HYDROCORTISONE-HEMISUCCINATE,"","",BRD:BRD-A07000685-001-04-4,"",,,
REP.PRIMARY,2.5,MELUADRINE,"","",BRD:BRD-A07164067-001-01-2,ADRB2,"ADRB2,",",",hsr-81;meluadrine tartrate;meluadrine
REP.PRIMARY,2.5,RO-20-1724,"PDE3A, PDE4A, PDE4B, PDE4C, PDE4D",PHOSPHODIESTERASE INHIBITOR,BRD:BRD-A07207424-001-13-2,"PDE3A,PDE4A,PDE4B,PDE4C,PDE4D","PDE4A,PDE4B,PDE4C,PDE4D,","PDE3A,PDE4A,PDE4B,PDE4C,PDE4D,",ro-20-1724;ro-20-174
REP.PRIMARY,2.5,8-M-PDOT,"MTNR1A, MTNR1B",MELATONIN RECEPTOR AGONIST,BRD:BRD-A07232941-001-02-7,"MTNR1A,MTNR1B",,,
REP.PRIMARY,2.5,ESMOLOL,ADRB1,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A07395371-003-10-0,ADRB1,"ADRB1,","ADRB1,","asl-8052;brevibloc;brevibloc injection;esmolol;esmolol hcl;mr5h3;galnobax;vld-02;esmolol hydrochloride;esmolol hydrochloride (topical gel formulation, diabetic wounds), novalead;repurposed esmolol hydrochloride (topical gel, diabetic foot ulcer), novalead"
REP.PRIMARY,2.5,LABETALOL,"ADRA1A, ADRA1B, ADRA1D, ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A07440155-003-25-4,"ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2","ADRA1A,ADRB1,ADRB2,","ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2,",albetol;amipress;antimisol;ipolab;labetalol;normodyne;opercol;presdate;pressalolo;trandate;trandol
REP.PRIMARY,2.5,BOPINDOLOL,"ADRB1, ADRB2, ADRB3, HTR1A, HTR1B",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A07563059-035-01-3,"ADRB1,ADRB2,ADRB3,HTR1A,HTR1B","ADRB1,ADRB2,","ADRB1,ADRB2,ADRB3,HTR1A,HTR1B,",bopindolol;bopindolol malonate;lt-31-200;sandonorm;wandonorm
REP.PRIMARY,2.5,MECLOCYCLINE-SULFOSALICYLATE,"",BACTERIAL 50S RIBOSOMAL SUBUNIT INHIBITOR,BRD:BRD-A07600638-060-05-2,"",,,
REP.PRIMARY,2.5,ISOFLOXYTHEPIN,"",DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-A07704283-001-01-3,"",NaN,NaN,isofloxythepin;vufb-10662
REP.PRIMARY,2.5,METAPROTERENOL,ADRB2,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A07780951-001-08-9,ADRB2,"ADRB2,",",","metaproterenol, alza;metasome;orciprenaline, alza"
REP.PRIMARY,2.58,METAPROTERENOL,ADRB2,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A07780951-065-10-0,ADRB2,"ADRB2,",",","metaproterenol, alza;metasome;orciprenaline, alza"
REP.PRIMARY,2.5,KAKONEIN,"","GABA RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",BRD:BRD-A07815743-001-01-1,"",,,
REP.PRIMARY,2.5,BICUCULLINE-(+),"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, KCNN1",GABA RECEPTOR ANTAGONIST,BRD:BRD-A07870296-001-07-4,"GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,KCNN1",,,
REP.PRIMARY,2.5,VIGABATRIN,"ABAT, GABBR1, SLC32A1",GABA AMINOTRANSFERASE INHIBITOR,BRD:BRD-A07893380-213-01-7,"ABAT,GABBR1,SLC32A1,AR",",","ABAT,GABBR1,SLC32A1,",gamma-vinyl-gaba;gamma-vinyl-gaba (oral solution);gamma-vinyl-gaba (tablet);gvg;m071754;m-071754;m071754 (oral solution);m-071754 (oral solution);m071754 (tablet);m-071754 (tablet);md-71754;md-71754 (oral solution);md-71754 (tablet);mdl-71754;mdl-71754 (oral solution);mdl-71754 (tablet);mo-71754;mo-71754 (oral solution);mo-71754 (tablet);rmi-71754;rmi-71754 (oral solution);rmi-71754 (tablet);sabril;sabril (oral solution);sabril (tablet);sabrilan;sabrilan (oral solution);sabrilan (tablet);sabrilex;sabrilex (oral solution);sabrilex (tablet);vigabatrin;vigabatrin (oral solution);vigabatrin (tablet);vigabatin
REP.PRIMARY,2.5,METITEPINE,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7",ANTI-HCVE2,BRD:BRD-A07932845-050-15-8,"HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR5A,HTR6,HTR7",",","HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR5A,HTR6,HTR7,","281816;e2 glycoprotein inhibitors (hcv infection), shal technologies;metitepine"
REP.PRIMARY,2.5,BUPARVAQUONE,"",ANTIPROTOZOAL AGENT,BRD:BRD-A07947329-001-01-4,"",NaN,NaN,"buparvaquone, sedds, dndi;buparvaquone, self-emulsifying drug delivery system"
REP.PRIMARY,2.5,GALETERONE,"AR, CYP17A1",ANDROGEN RECEPTOR MODULATOR,BRD:BRD-A07986123-001-02-8,"AR,CYP17A1","AR,",",","galeterone, companion diagnostic;tok-001, companion diagnostic;sarm/li inhibitor (oral, castration-resistant prostate cancer), educational & scientific;sarm/li inhibitor (oral, prostate cancer), novus;sarm/li inhibitor (oral, prostate cancer), tokai pharmaceuticals;sarm/li inhibitor (oral, prostate cancer), university of maryland;tok-001;vn/124-1;galeterone"
REP.PRIMARY,2.5,CDBA,"","",BRD:BRD-A08079565-001-01-8,"",NaN,NaN,cdba;kbc
REP.PRIMARY,2.5,RACECADOTRIL,MME,ENKEPHALINASE INHIBITOR,BRD:BRD-A08187463-001-12-9,MME,"MME,","MME,",acetorphan;hidrasec;racecadotril;tiorfan;acetorphan
REP.PRIMARY,2.5,FAMPROFAZONE,"",CYCLOOXYGENASE INHIBITOR,BRD:BRD-A08255417-001-14-7,"",,,
REP.PRIMARY,2.5,ETONOGESTREL,"ESR1, PGR",PROGESTERONE RECEPTOR AGONIST,BRD:BRD-A08302182-001-01-7,"ESR1,PGR,HSD17B1,AR",",","ESR1,PGR,","etonogestrel, orbis biosciences- 1;orb 214;orb214;orb-214;etonogestrel;etonogestrel (12-month injectable formulation/microsphere, contraception), orbis biosciences/ daré bioscience"
REP.PRIMARY,2.38,DOXYCYCLINE,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-003-07-8,"MMP8,MMP1,MMP9",",","MMP8,","doxycycline hyclate, foamix;fmx 110;fmx110;fmx-110;doxycycline;doxycycline hyclate;doxycycline hyclate (topical gel formulation, papulopustular rosacea), foamix pharmaceuticals;doxycycline hyclate (topical gel formulation, papulopustular rosacea), menlo therapeutics"
REP.PRIMARY,2.5,DOXYCYCLINE,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-003-08-6,"MMP8,MMP1,MMP9",",","MMP8,","doxycycline hyclate, foamix;fmx 110;fmx110;fmx-110;doxycycline;doxycycline hyclate;doxycycline hyclate (topical gel formulation, papulopustular rosacea), foamix pharmaceuticals;doxycycline hyclate (topical gel formulation, papulopustular rosacea), menlo therapeutics"
REP.PRIMARY,2.5,DOXYCYCLINE,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-311-01-8,"MMP8,MMP1,MMP9",",","MMP8,","doxycycline hyclate, foamix;fmx 110;fmx110;fmx-110;doxycycline;doxycycline hyclate;doxycycline hyclate (topical gel formulation, papulopustular rosacea), foamix pharmaceuticals;doxycycline hyclate (topical gel formulation, papulopustular rosacea), menlo therapeutics"
REP.PRIMARY,2.5,DOXYCYCLINE,MMP8,METALLOPROTEINASE INHIBITOR,BRD:BRD-A08545410-311-03-4,"MMP8,MMP1,MMP9",",","MMP8,","doxycycline hyclate, foamix;fmx 110;fmx110;fmx-110;doxycycline;doxycycline hyclate;doxycycline hyclate (topical gel formulation, papulopustular rosacea), foamix pharmaceuticals;doxycycline hyclate (topical gel formulation, papulopustular rosacea), menlo therapeutics"
REP.PRIMARY,2.5,IODIXANOL,"",RADIOPAQUE MEDIUM,BRD:BRD-A08660406-001-05-9,"",NaN,NaN,2-5410-3a;acupaque;du-6807;iodixanol;visipaque;visipaque 270;visipaque 320;visipaque injection;visipaque 270;visipaque 320
REP.PRIMARY,2.87,L-THEANINE,"",GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-A08715367-001-01-7,"",,,
